Concentrations in ppbv,,m/z 47.01204 [C1H3O2],m/z 59.04874 [C3H7O1],m/z 61.02806 [C2H5O2],m/z  127.075 [C7H11O2],m/z 137.1339 [C10H17],m/z  139.113 [C9H15O1],m/z 143.1063 [C8H15O2],m/z 155.1074 [C9H15O2],m/z 157.0866 [C8H13O3],m/z 171.1014 [C9H15O3],m/z 173.0805 [C8H13O4],m/z 187.0977 [C9H15O4],m/z 201.1118 [C10H17O4]
,,m/z 47.0118,m/z 59.04863,m/z 61.02766,m/z 127.0748,m/z 137.132,m/z 139.1119,m/z 143.1056  ,m/z 155.1068,m/z 157.086,m/z 171.1006,m/z 173.0808,m/z 187.0966,m/z 201.1119
time_string,time_number,C1H3O2,C3H7O1,C2H5O2,C7H11O2,C10H17,C9H15O1,C8H15O2,C9H15O2,C8H13O3,C9H15O3,C8H13O4,C9H15O4,C10H17O4
12/7/2023 10:35,45267.4414,0.21475,0.22466,0.17004,0.0048694,0.0026445,0.032805,0.00017712,0.016165,0.002884,0.00029391,0.00076475,-2.61E-05,-3.05E-06
12/7/2023 10:35,45267.4414,0.25132,0.22735,0.1831,0.0087268,0.0016079,0.030208,-0.00078628,0.018317,8.14E-05,0.0015898,0.00042245,0.00022424,0.00064875
12/7/2023 10:35,45267.4414,0.21756,0.22987,0.17104,0.0058633,-0.00028008,0.037582,0.0010388,0.020297,0.00060985,0.0024983,-4.74E-05,-0.00056991,0.00076618
12/7/2023 10:35,45267.4414,0.22022,0.20857,0.17633,0.007627,0.0032013,0.030837,-0.00093341,0.014691,0.00080133,0.002136,1.25E-05,-0.00035258,-0.00024016
12/7/2023 10:35,45267.4414,0.23186,0.22044,0.2004,0.0074835,0.0024766,0.036586,-6.87E-05,0.012295,0.00055747,0.0027516,0.00081946,-0.00020745,-0.00048126
12/7/2023 10:35,45267.4414,0.258,0.23697,0.20304,0.0042748,0.0030589,0.033525,-0.0001229,0.016233,0.00098158,0.0018602,0.00054362,-0.00018483,-0.00025169
12/7/2023 10:36,45267.4414,0.24499,0.22339,0.18213,0.0043977,0.0024697,0.035834,-0.00024666,0.016191,0.00072439,0.0015868,-0.00070852,0.0014172,0.0008828
12/7/2023 10:36,45267.4414,0.26317,0.22316,0.16927,0.0081549,0.004838,0.033221,-0.0012232,0.017812,0.0014895,0.0018649,0.00086096,-0.00024811,0.00027945
12/7/2023 10:36,45267.4414,0.21357,0.2433,0.1725,0.0037357,0.002,0.033204,3.08E-05,0.019062,0.0010094,0.0017068,-0.00030458,-0.00068965,-0.00035732
12/7/2023 10:36,45267.4414,0.26568,0.22794,0.17895,0.0038876,0.0043818,0.042067,-0.0001752,0.016943,0.0017104,0.0025387,0.00035699,-0.00090918,-0.00072378
12/7/2023 10:36,45267.4414,0.23497,0.2143,0.1883,0.0039047,0.0034409,0.037732,0.0013282,0.016474,0.00045164,-0.00019699,0.0011866,0.00016568,0.00016294
12/7/2023 10:36,45267.4414,0.2659,0.22123,0.16867,0.007746,0.0027121,0.036094,0.0033616,0.017568,0.00028977,0.0014106,0.00076532,0.001095,0.00030135
12/7/2023 10:36,45267.4414,0.23503,0.19413,0.19575,0.0055588,0.0036322,0.032473,0.00052642,0.018451,0.0010238,0.00011207,-0.00030159,-0.0011078,-0.00084744
12/7/2023 10:36,45267.4414,0.25401,0.24088,0.18186,0.004703,0.0046918,0.031808,0.0018169,0.017137,-6.12E-05,-0.00073758,-0.00043512,-0.0002794,0.00054447
12/7/2023 10:36,45267.4414,0.23326,0.23602,0.18449,0.0052755,0.002391,0.032051,0.001668,0.01566,0.0014225,-0.00052266,0.00022882,0.00079399,0.00012111
12/7/2023 10:36,45267.4414,0.25163,0.22144,0.17459,0.0014555,0.0015358,0.036952,-0.00079138,0.013376,-0.00031515,0.00015181,0.00054444,0.00025732,-5.98E-05
12/7/2023 10:36,45267.4414,0.22846,0.21712,0.18476,0.0050099,0.0017693,0.035276,0.0012233,0.015669,0.00056787,0.0010771,0.00035643,0.0001,0.00016295
12/7/2023 10:36,45267.4414,0.21101,0.19285,0.18245,0.0030952,0.0033428,0.035499,0.00011559,0.014904,0.0008332,0.0021354,-0.00011608,-0.00065449,0.0019312
12/7/2023 10:36,45267.4414,0.22881,0.23394,0.18279,0.0036813,0.0022453,0.035145,-0.00022803,0.016365,9.55E-05,0.0030476,0.00023134,-6.59E-05,-8.73E-05
12/7/2023 10:36,45267.4414,0.25669,0.218,0.17193,0.0060967,0.0046551,0.04249,0.00088504,0.015427,0.0004941,0.00092838,0.00094429,-0.00084823,-0.00031919
12/7/2023 10:36,45267.4414,0.27353,0.21384,0.1783,0.0074164,0.0010498,0.034399,-0.00020381,0.017554,-0.00050282,0.0021398,0.00013397,-0.0004074,0.00089284
12/7/2023 10:36,45267.4414,0.22477,0.20922,0.18524,0.0044206,0.0019854,0.036263,-0.00033489,0.01825,0.0023685,0.00037435,0.00098101,0.00052949,-0.0004228
